Vehicle ID,Departure Time,Arrival Time,Travel Time,Waiting Time,Route Length
ai_8c6ab06eb5924693a58b5d770f3be80b,129.3,244.6,115.3,38.3,843.99
ai_6ffdefade0284f41b1a2cdc912784739,146.1,245.0,98.9,41.4,627.31
ai_eb496243ed5344dcbda0fca7ffb1c9c6,180.4,247.5,67.1,6.1,614.0
ai_6f8d0467280c40a88cddd24a8c88856d,178.3,248.7,70.4,0.0,833.48
ai_90205edcd99b4effb773c4f650fce9c5,98.8,249.0,150.2,59.1,836.99
ai_d27165d6dc004565a70e0f72ac1e56a7,128.9,259.5,130.6,48.7,870.2
ai_ee99a837dc494c02b4e2e12766642506,102.8,261.0,158.2,65.0,843.52
ai_3e9671c96e084ac5b7cb3363bc1aa30c,184.6,267.1,82.5,0.9,949.78
ai_69a6d20a015c4b078ae562ecc09b3995,146.5,268.8,122.3,65.6,650.39
ai_e60db170ee044bc5936c8d2241728fc2,157.1,270.7,113.6,50.2,647.59
ai_3cc8fd95e7df41c69794f49588d624dd,147.2,273.3,126.1,29.1,637.74
ai_9601ae9b156e45aa80ce142d0af7d413,203.7,274.9,71.2,0.0,873.47
ai_5188fac3606147c89e7e5e7c0b519ef5,173.3,275.3,102.0,7.1,843.52
ai_c635acc2869c4bff9e482f61d8929842,195.8,281.6,85.8,6.4,953.54
ai_202bcbf355474b83aecf2c82a15b04c9,180.7,284.2,103.5,3.2,836.52
ai_80a6c74f623344a2b4a79f671dce580c,122.7,285.9,163.2,58.4,867.67
ai_0b20d45db3674829852590218833f79c,135.7,287.2,151.5,63.4,846.32
ai_6009dd9088d04508acb6d1a9d3eec482,205.6,287.4,81.8,11.3,859.16
ai_fff151471c25489aa18ef7c366de1c99,225.2,288.7,63.5,26.2,418.1
ai_1eeb883007b541e2bed4689b997f9a4e,195.1,289.5,94.4,40.4,643.97
ai_15f617274a8b487f96b33d513e9825e8,197.7,289.6,91.9,35.6,624.05
ai_451deb21d175479caab0292750a43b3f,163.9,290.2,126.3,46.9,868.14
ai_ee1b57a08dc34afd9e84610ecfb3fc3a,166.4,290.9,124.5,28.4,843.52
ai_ec07cdbe872d4a9aae2176b80d28de45,162.1,291.3,129.2,35.2,846.89
ai_ccb8e7bed180418094eaf99c338a6686,196.4,291.3,94.9,16.8,857.97
ai_075d3b45034c400c81cb98fe8d508953,233.6,293.2,59.6,9.9,395.39
ai_39d737618a4b4402b121c3e8409d0678,208.6,294.4,85.8,0.0,854.73
ai_11f71fba392049959d46ca4d2d53a56b,116.7,295.4,178.7,66.1,852.73
ai_719478b2a1014946beaf1894ea73d264,216.9,296.5,79.6,0.0,849.83
ai_1954f215fcc64286b7724c41ac4376a4,153.8,297.1,143.3,38.8,852.73
ai_8410f7b227a74ee197196f548020d7e1,201.9,299.3,97.4,12.8,846.89
ai_4c340c3244c94ea786cd2a51b044b8e4,172.4,300.7,128.3,37.5,860.2
ai_d633797846eb413493daf6a55ed4b92c,212.9,302.3,89.4,6.1,860.2
ai_48c697e706074a448809168d2d1fc897,231.5,303.8,72.3,0.0,860.2
ai_32b5080961d246d3985cdfde2cd69a6c,222.6,308.7,86.1,27.5,624.05
ai_08cbdf2264164015afbd569d1fb76898,232.9,310.8,77.9,33.8,418.03
ai_89a67e1e497146de9b712d0fd66fcaf4,262.7,314.9,52.2,0.0,643.97
ai_241e7f1bc27c4578b36306111bd5ee04,287.7,320.6,32.9,0.0,418.1
ai_891bb6c98d5742868f23c2524b9ff6fb,232.7,330.9,98.2,44.8,616.8
ai_51102fb22a6746b284326547b5481a7d,226.4,332.1,105.7,26.9,953.54
ai_5455b28c179a4791a186cb1ce9f319bc,188.2,332.4,144.2,68.8,830.68
ai_43355192d36e44e0826a82e98d5f56f8,290.8,333.7,42.9,0.0,413.13
ai_5b0b456bf5d34811a0f6d0ba136f0536,241.6,334.2,92.6,7.1,936.77
ai_f0d5f210ab0345f594cfb19df518256a,242.0,334.2,92.2,21.5,626.84
ai_0156b77f0cd841cb9fcb01d177ad8799,255.7,336.1,80.4,0.0,841.89
ai_6ef99953bf8a41dcbd6d061c9c4b2b7c,260.1,336.3,76.2,12.3,626.84
ai_f35f6c377608401db69127aaced35b90,271.5,343.0,71.5,15.2,413.13
ai_28fb99696e5642e89ee64a72c6bd34d3,239.7,345.3,105.6,24.7,947.42
ai_73f61233ff2e479e8f4901b486e392a4,275.1,346.8,71.7,0.0,939.57
ai_636f07557e3e44a6a7c1462406e3e6cd,214.1,347.2,133.1,54.7,645.06
ai_02f099ac3b534d1a9d13f7b2ab11f9d5,276.6,347.5,70.9,0.0,949.78
ai_0960105f4735426282927cdb4088e941,222.5,347.6,125.1,38.0,863.2
ai_d24066a9f7c1434eb8f9d82934f5789b,276.4,348.6,72.2,4.1,647.86
ai_ebe526d1c998480c81be26dec92002cd,200.2,349.5,149.3,65.1,846.32
ai_12fed64d03304f1dab5d3701e6f1035d,292.5,350.4,57.9,0.0,645.06
ai_ff7232d8ba034bb8a3faa5ef03751a97,234.5,350.5,116.0,43.0,870.94
ai_6de5e57df05048c7b9a4373954cf4794,230.8,351.2,120.4,44.5,868.14
ai_183d7e8bbd49416cb81530586da75901,250.1,351.7,101.6,10.0,843.52
ai_80a38cdac4c1444384c164a1026fc7a9,294.9,353.1,58.2,0.0,639.84
ai_87f286f431f34751a9351dcf929cdc7a,258.8,355.2,96.4,17.6,868.14
ai_302b40ea53e34fe2b8bd463722b2f6f1,238.1,355.9,117.8,32.6,863.67
ai_5793ae24591d40f58e4a7e04166a7274,251.5,356.0,104.5,17.9,854.83
ai_6014ad53c1be4f00983605caca7b6c90,242.0,356.3,114.3,25.1,870.2
ai_2a409d1d0ff44bf297a8da6d3ea8561b,295.0,358.6,63.6,0.0,627.31
ai_594010a1f976431a9704e228ea86c407,325.5,358.6,33.1,0.7,418.03
ai_840dbbf8ae42407cbe7373948809c0f6,266.6,362.1,95.5,25.9,647.59
ai_a0a6abe437b44dcc842e0c65ff591f5a,250.7,367.2,116.5,35.1,868.57
ai_4d3f1ab7c25d40c7aaa3a72a0533bbf4,283.6,368.1,84.5,0.0,860.67
ai_3e9bae85f0924b6fa1d98b50f3c61670,259.7,375.5,115.8,28.0,870.67
ai_9e5cdc173f974aaa92759bd6f2ec6f1d,234.4,379.1,144.7,57.5,854.83
ai_e3739d84836c4e679041f0b7ac76f3e9,281.4,379.4,98.0,42.6,624.05
ai_3fa278de0a9b44ae914cd43a16e29e21,204.5,379.5,175.0,89.9,854.83
ai_b8872970001145a78de5230b958f7cf8,292.2,380.8,88.6,1.6,868.14
ai_daec13d9555a41368f30c3f0644b817c,347.9,383.0,35.1,0.0,402.39
ai_02b9dc07e3b64bbdb034acfaff0a4254,240.9,383.4,142.5,63.7,856.83
ai_b63304d6d6214ddba5a886ecddba0b38,256.1,384.9,128.8,39.3,856.36
ai_bfba820d5e854e0ea1e4da791427ebd7,329.1,385.3,56.2,5.7,416.0
ai_cbdea58ed32546a3aa82017858c39364,255.3,386.1,130.8,34.6,858.1
ai_36fa74173e8843d38664c9bf528281bc,268.5,386.5,118.0,30.9,856.83
ai_29210b219a3c4cc6b591f4595b0853fa,218.3,387.1,168.8,53.3,865.57
ai_3d2107c1b18342a1b59312d5cc1ddf46,328.5,388.5,60.0,0.0,856.83
ai_b432c1d506ec45baa0fab814d8770946,358.2,388.6,30.4,0.0,418.03
ai_9303273b802e4a8b8a02b43997e9fef4,276.5,388.7,112.2,8.7,858.1
ai_faec669a8ce7487d9671e92f92db79e5,314.5,392.7,78.2,27.5,626.85
ai_988237f9d3274528aca03c93a71694c6,324.8,393.9,69.1,16.9,643.97
ai_0f0ec8b9d7c24176a03b4faaee113855,297.5,395.7,98.2,43.4,643.97
ai_ce7fae7771f642ffa598cba502e2d65e,328.7,397.8,69.1,5.1,643.97
ai_860b8a31dff448169452d71e8f027cff,309.2,397.9,88.7,31.1,643.97
ai_dddc5ffa66984dc9b760f3d3aec9c1a6,321.2,399.1,77.9,17.9,624.05
ai_0243a15e77c944f5b48df5abff851e43,336.2,399.3,63.1,0.0,643.97
ai_3a0335003cf142d5a3af874714224580,323.9,401.0,77.1,15.5,631.99
ai_79db9ad02e0d44f59113f2c2b28d1f45,343.3,402.0,58.7,0.0,641.87
ai_f8cd4dd2b62d4777bc796d1f7aa5c313,331.8,409.2,77.4,3.1,621.95
ai_f26bbcf4873642c88e5b718e3c07713b,368.3,411.2,42.9,0.0,413.13
ai_f34c4c4e4deb4187b7cf9ef93466ad06,373.6,412.8,39.2,0.0,415.23
ai_139d76fc873b4aa59bffe6b6b0f42238,357.7,413.1,55.4,0.0,624.05
ai_5fe417f32de9410c979e95648ef8949d,291.7,421.4,129.7,45.6,948.49
ai_6834da797f054c05b52d0d5c5570834e,254.1,422.7,168.6,76.2,956.34
ai_c69469bceb454a139d56b6555004ad07,305.4,423.7,118.3,41.1,857.36
ai_26ff4951c9194cffb97677ce2b4d7d87,284.9,424.6,139.7,48.0,953.54
